ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
47, California,Lake County,64360,44.8,38147,21845,15036,23.36233686,2012
44, California,Solano County,414209,37,69006,29170,47415,11.44711969,2012
43, California,Shasta County,177693,41.9,44396,23639,30820,17.34452117,2012
42, California,Siskiyou County,44673,47,37948,22304,8610,19.27338661,2012
31, California,Alpine County,1197,43.2,59931,27135,159,13.28320802,2012
46, California,Glenn County,28078,36.5,42641,21689,5383,19.17159342,2012
49, California,Inyo County,18474,45.7,45000,27323,2035,11.01548122,2012
53, California,Napa County,136644,39.6,69571,35195,13341,9.763326601,2012
38, California,San Bernardino County,2041029,31.7,54750,21636,350982,17.19632597,2012
57, California,Fresno County,930517,30.7,45741,20391,226967,24.39149419,2012
55, California,Colusa County,21329,33.9,52165,21601,3206,15.03117821,2012
54, California,San Francisco County,807755,38.5,73802,47278,104784,12.97225025,2012
40, California,Marin County,252759,44.6,90962,55695,18371,7.268188274,2012
30, California,Nevada County,98521,48,57382,31899,11320,11.48993616,2012
51, California,Imperial County,173487,31.8,41255,16667,37544,21.64081459,2012
32, California,Madera County,150615,33.2,47937,18474,29900,19.85194038,2012
33, California,Mendocino County,87577,41.7,43721,23179,16689,19.05637325,2012
34, California,Santa Cruz County,262340,36.9,66571,32846,36553,13.93344515,2012
29, California,Humboldt County,134317,37.5,40830,23884,25729,19.15543081,2012
41, California,Placer County,350074,40.2,73356,34917,29082,8.307386438,2012
36, California,Los Angeles County,9840024,34.8,56241,27900,1658231,16.85189995,2012
52, California,Alameda County,1515136,36.6,71516,35434,178897,11.80732291,2012
35, California,Trinity County,13693,49.2,36569,23014,2377,17.35923465,2012
26, California,San Diego County,3100500,34.7,63373,30683,418555,13.49959684,2012
25, California,San Joaquin County,687036,32.6,53895,22696,117938,17.16620381,2012
14, California,Butte County,220101,37.3,43339,23556,44156,20.06169895,2012
15, California,Plumas County,19926,49.4,45358,28329,2720,13.65050688,2012
16, California,San Luis Obispo County,270121,39.3,59628,30218,34755,12.86645614,2012
17, California,Kern County,839153,30.7,47727,20216,180779,21.54303208,2012
23, California,Orange County,3021840,36.2,75566,34233,349220,11.55653509,2012
19, California,Calaveras County,45507,49.5,54686,28892,4643,10.20282594,2012
20, California,San Mateo County,721183,39.3,87751,45458,52888,7.333506197,2012
22, California,Amador County,37764,48.4,53462,26969,3502,9.273382057,2012
13, California,Sierra County,3163,51.6,42500,24121,527,16.66139741,2012
18, California,Ventura County,822794,36.4,76483,32826,83936,10.20133837,2012
56, California,Kings County,151982,31.2,48761,18566,27679,18.21202511,2012
2, California,Yuba County,72244,31.9,46641,20016,14541,20.12762306,2012
21, California,Tuolumne County,55205,48,48169,26043,6718,12.16918757,2012
12, California,Monterey County,416199,32.9,60143,24995,64123,15.40681261,2012
0, California,Merced County,256398,29.7,43565,18343,61914,24.14761426,2012
11, California,El Dorado County,180441,43.5,70117,34571,14439,8.002061616,2012
24, California,Sutter County,94615,34.5,50510,22816,15868,16.77112509,2012
5, California,Stanislaus County,515115,32.8,49866,21785,97847,18.99517583,2012
10, California,Sacramento County,1422348,34.9,55846,26856,230523,16.20721511,2012
8, California,Mono County,14181,37.1,61868,27135,1333,9.399901276,2012
9, California,San Benito County,55467,34.1,63939,25791,7000,12.62011647,2012
