,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,State,county,County,Poverty Rate,Year,Unemployment Count
32,"Nevada County, California",58077.0,98392.0,47.3,31607.0,10072.0,06,057,Nevada County,10.236604602000163,2011,4497.0
33,"Alpine County, California",59018.0,1167.0,40.4,29576.0,170.0,06,003,Alpine County,14.567266495287061,2011,52.0
34,"Madera County, California",47724.0,149611.0,33.2,18817.0,27777.0,06,039,Madera County,18.566148211027265,2011,6736.0
35,"Mendocino County, California",44527.0,87525.0,41.4,23585.0,15298.0,06,045,Mendocino County,17.478434732933447,2011,4791.0
36,"Santa Cruz County, California",66030.0,259402.0,36.7,32975.0,34382.0,06,087,Santa Cruz County,13.2543311154116,2011,11698.0
37,"Trinity County, California",37672.0,13711.0,49.3,22551.0,2366.0,06,105,Trinity County,17.256217635475167,2011,835.0
38,"Los Angeles County, California",56266.0,9787747.0,34.6,27954.0,1566066.0,06,037,Los Angeles County,16.00027054234238,2011,489810.0
39,"Riverside County, California",58365.0,2154844.0,33.5,24516.0,301763.0,06,065,Riverside County,14.003937175962623,2011,128528.0
40,"San Bernardino County, California",55853.0,2023452.0,31.4,21932.0,317059.0,06,071,San Bernardino County,15.669212810583103,2011,120253.0
41,"Santa Clara County, California",89064.0,1762754.0,36.0,40698.0,160396.0,06,085,Santa Clara County,9.099170956355794,2011,80286.0
42,"Marin County, California",89605.0,250666.0,44.3,54605.0,17502.0,06,041,Marin County,6.98219942074314,2011,8459.0
43,"Placer County, California",74645.0,343554.0,40.0,35583.0,24576.0,06,061,Placer County,7.153460591348085,2011,14002.0
44,"Siskiyou County, California",37865.0,44687.0,46.9,22335.0,8085.0,06,093,Siskiyou County,18.092510125987424,2011,2626.0
45,"Shasta County, California",44058.0,177231.0,41.6,23691.0,30023.0,06,089,Shasta County,16.940038706546822,2011,9839.0
46,"Solano County, California",69914.0,411620.0,36.7,29367.0,42525.0,06,095,Solano County,10.331130654487149,2011,20179.0
47,"Del Norte County, California",37588.0,28561.0,38.9,19247.0,5313.0,06,015,Del Norte County,18.602289835790064,2011,1054.0
48,"Glenn County, California",43239.0,28027.0,35.3,21254.0,5166.0,06,021,Glenn County,18.432226067720414,2011,1238.0
49,"Butte County, California",42971.0,219309.0,37.2,23431.0,42283.0,06,007,Butte County,19.280102503773215,2011,13399.0
50,"Plumas County, California",44151.0,20192.0,49.0,28104.0,2680.0,06,063,Plumas County,13.272583201267828,2011,1319.0
51,"San Luis Obispo County, California",58630.0,267871.0,39.1,30204.0,33330.0,06,079,San Luis Obispo County,12.44255630508715,2011,10733.0
