,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
212,2012,San Joaquin County,0.4358490566037736,99.56415094339621,93.62566037735849,10.437924528301888,0.0,0.0,25.0,687036.0,32.6,53895.0,22696.0,117938.0,17.166203808825156
213,2012,San Luis Obispo County,11.062075471698115,88.9379245283019,47.60905660377359,0.8407547169811321,0.0,0.0,16.0,270121.0,39.3,59628.0,30218.0,34755.0,12.86645614372818
214,2012,San Mateo County,5.815094339622641,94.18490566037737,87.54452830188679,2.4143396226415095,0.0,0.0,20.0,721183.0,39.3,87751.0,45458.0,52888.0,7.333506197456124
215,2012,Santa Barbara County,15.117735849056604,84.88226415094341,36.96283018867924,0.0,0.0,0.0,50.0,423594.0,33.6,62723.0,30114.0,62240.0,14.693314825044734
216,2012,Santa Clara County,3.5841509433962266,96.41584905660378,90.75471698113208,7.6709433962264155,0.0,0.0,39.0,1788393.0,36.2,90747.0,41041.0,171669.0,9.599064635122144
217,2012,Santa Cruz County,5.517735849056604,94.4822641509434,90.56603773584905,2.009056603773585,0.0,0.0,34.0,262340.0,36.9,66571.0,32846.0,36553.0,13.933445147518489
218,2012,Shasta County,24.277735849056622,75.7222641509434,34.68358490566038,5.469056603773585,0.0,0.0,43.0,177693.0,41.9,44396.0,23639.0,30820.0,17.344521168532246
219,2012,Sierra County,16.69905660377359,83.3009433962264,49.82113207547171,15.58132075471698,0.5890566037735849,0.0,13.0,3163.0,51.6,42500.0,24121.0,527.0,16.6613974075245
220,2012,Siskiyou County,31.458301886792444,68.54169811320756,27.844905660377357,1.430943396226415,0.0,0.0,42.0,44673.0,47.0,37948.0,22304.0,8610.0,19.27338660936136
221,2012,Solano County,6.513396226415094,93.4866037735849,62.424339622641526,5.462830188679245,0.0,0.0,44.0,414209.0,37.0,69006.0,29170.0,47415.0,11.447119690784119
222,2012,Sonoma County,14.213207547169803,85.7867924528302,22.918490566037732,0.018867924528301886,0.0,0.0,6.0,483456.0,39.8,63565.0,32898.0,54966.0,11.369390389197775
223,2012,Stanislaus County,0.0,100.0,96.83622641509433,10.098301886792454,0.0,0.0,5.0,515115.0,32.8,49866.0,21785.0,97847.0,18.99517583452239
224,2012,Sutter County,5.660377358490566,94.33962264150944,89.81358490566038,9.84509433962264,0.0,0.0,24.0,94615.0,34.5,50510.0,22816.0,15868.0,16.77112508587433
225,2012,Tehama County,13.87396226415094,86.12603773584902,42.9166037735849,4.952830188679245,0.0,0.0,7.0,63200.0,39.6,40307.0,20259.0,12646.0,20.009493670886076
226,2012,Trinity County,54.55226415094343,45.447735849056606,9.38452830188679,0.0,0.0,0.0,35.0,13693.0,49.2,36569.0,23014.0,2377.0,17.359234645439276
227,2012,Tulare County,0.5132075471698113,99.48679245283019,93.1277358490566,27.33641509433962,0.0,0.0,27.0,441877.0,29.7,43803.0,18021.0,108096.0,24.462916150874573
228,2012,Tuolumne County,4.767735849056605,95.2322641509434,73.3043396226415,13.465471698113205,0.0,0.0,21.0,55205.0,48.0,48169.0,26043.0,6718.0,12.16918757358935
229,2012,Ventura County,14.843962264150944,85.15603773584907,23.02622641509434,0.0,0.0,0.0,18.0,822794.0,36.4,76483.0,32826.0,83936.0,10.201338366589937
230,2012,Yolo County,6.127924528301886,93.87207547169812,75.728679245283,8.573396226415094,0.0,0.0,28.0,200873.0,30.5,57260.0,28137.0,36007.0,17.925256256440637
231,2012,Yuba County,19.224339622641505,80.77566037735846,47.32981132075471,4.27433962264151,0.0,0.0,2.0,72244.0,31.9,46641.0,20016.0,14541.0,20.127623055201816
232,2013,Alameda County,13.070576923076922,86.92942307692307,65.38461538461539,51.92307692307692,0.7973076923076922,0.0,46.0,1535248.0,36.8,72112.0,35763.0,188501.0,12.278211728658825
233,2013,Alpine County,12.923653846153847,87.0763461538461,69.55942307692308,48.65499999999999,4.8842307692307685,0.0,5.0,1165.0,44.3,58636.0,25527.0,184.0,15.79399141630901
234,2013,Amador County,16.524807692307693,83.47519230769231,65.40846153846154,51.92307692307692,11.498076923076923,0.0,29.0,37422.0,49.1,53684.0,27347.0,4150.0,11.089733311955532
235,2013,Butte County,15.985961538461538,84.01403846153848,65.38461538461539,51.92307692307692,0.0,0.0,21.0,220542.0,37.0,43752.0,23787.0,43942.0,19.924549518912496
236,2013,Calaveras County,14.0625,85.9375,69.14076923076924,53.21249999999999,11.538461538461538,0.0,26.0,45147.0,50.0,55295.0,29329.0,4849.0,10.740470020156376
237,2013,Colusa County,13.461538461538462,86.53846153846153,65.38461538461539,51.92307692307692,0.0,0.0,49.0,21366.0,33.9,52158.0,21579.0,2635.0,12.332678086679774
238,2013,Contra Costa County,13.34423076923077,86.65576923076924,65.38461538461539,51.92307692307692,2.1934615384615386,0.0,33.0,1065794.0,38.6,78756.0,38219.0,111173.0,10.43100261401359
239,2013,Del Norte County,21.39576923076923,78.60423076923077,61.474038461538456,25.135576923076925,0.0,0.0,19.0,28357.0,39.1,37909.0,19072.0,5406.0,19.06407588955108
240,2013,El Dorado County,17.622692307692308,82.3773076923077,65.95692307692308,51.07096153846154,3.762692307692308,0.0,41.0,180982.0,44.1,69297.0,34884.0,16206.0,8.954481661159674
241,2013,Fresno County,0.0,100.0,99.24230769230768,78.65211538461541,13.492307692307692,0.0,51.0,939605.0,30.9,45563.0,20208.0,239584.0,25.4983743168672
242,2013,Glenn County,13.771923076923077,86.22807692307691,65.38461538461539,51.92307692307692,0.0,0.0,20.0,28054.0,37.2,43023.0,22148.0,5198.0,18.52855207813502
243,2013,Humboldt County,21.512115384615388,78.48788461538462,65.38461538461539,29.419423076923074,0.0,0.0,3.0,134613.0,37.5,41426.0,23540.0,26600.0,19.760350040486433
244,2013,Imperial County,0.4711538461538462,99.52884615384616,82.24019230769228,30.569807692307695,0.0,0.0,45.0,175201.0,31.8,41807.0,16763.0,38286.0,21.852614996489745
245,2013,Inyo County,0.0,100.0,100.0,97.63192307692303,1.5334615384615378,0.0,57.0,18482.0,45.7,44796.0,27441.0,2309.0,12.493236662698846
246,2013,Kern County,0.0,100.0,100.0,91.22692307692306,37.11384615384616,0.0,24.0,848204.0,30.8,48552.0,20295.0,186811.0,22.024300757836556
247,2013,Kings County,0.0,100.0,100.0,88.43884615384619,26.16576923076923,0.0,50.0,151806.0,31.1,48133.0,18429.0,28019.0,18.45710973215815
248,2013,Lake County,15.920769230769231,84.07923076923076,65.38461538461539,51.92307692307692,0.0,0.0,55.0,64260.0,45.1,36548.0,21537.0,15860.0,24.68098350451292
249,2013,Lassen County,2.5871153846153847,97.41288461538458,87.6755769230769,54.579038461538474,0.0,0.0,34.0,34018.0,37.3,53107.0,19931.0,3953.0,11.620318654829795
250,2013,Los Angeles County,0.0625,99.9375,82.82096153846153,60.450961538461534,2.138461538461539,0.0,10.0,9893481.0,35.1,55909.0,27749.0,1737224.0,17.55927969134423
251,2013,Madera County,0.0673076923076923,99.93269230769229,93.99211538461535,70.10307692307694,11.538461538461538,0.0,6.0,151435.0,33.2,45625.0,17847.0,32604.0,21.530029385544953
252,2013,Marin County,13.485000000000001,86.51500000000001,65.38461538461539,51.92307692307692,0.0,0.0,14.0,254643.0,44.8,90839.0,56791.0,19121.0,7.508943894000621
253,2013,Mariposa County,4.437307692307693,95.56269230769232,88.59519230769234,65.38461538461539,11.538461538461538,0.0,31.0,18061.0,50.1,49820.0,26988.0,2876.0,15.923813742317703
254,2013,Mendocino County,17.31,82.68999999999998,65.38461538461539,48.859807692307704,0.0,0.0,7.0,87497.0,41.8,43469.0,23306.0,17221.0,19.68181766231985
255,2013,Merced County,0.01,99.99000000000002,96.78038461538459,64.60557692307692,11.48653846153846,0.0,30.0,258707.0,30.0,42591.0,18177.0,64490.0,24.927814090844088
256,2013,Modoc County,0.0,100.0,98.27826923076925,64.25884615384614,0.0,0.0,56.0,9468.0,46.9,36212.0,21200.0,1917.0,20.247148288973385
257,2013,Mono County,0.14153846153846156,99.85846153846157,98.32423076923072,74.90653846153849,0.6934615384615384,0.0,38.0,14217.0,37.2,61757.0,28046.0,1197.0,8.419497784342687
258,2013,Monterey County,3.3473076923076923,96.65269230769232,77.9771153846154,57.9521153846154,17.44846153846154,0.0,42.0,420569.0,33.0,59168.0,24775.0,68185.0,16.21255965132951
259,2013,Napa County,13.461538461538462,86.53846153846153,65.38461538461539,51.92307692307692,0.0,0.0,47.0,137837.0,39.8,70443.0,34795.0,13563.0,9.839883340467363
260,2013,Nevada County,16.350192307692307,83.64980769230766,66.0873076923077,51.01153846153847,0.0,0.0,4.0,98509.0,48.5,57353.0,32346.0,11696.0,11.873026830035837
261,2013,Orange County,0.0,100.0,71.12846153846154,57.69230769230769,0.0,0.0,52.0,3051771.0,36.4,75422.0,34057.0,373049.0,12.224016808600645
262,2013,Placer County,17.14576923076923,82.85423076923075,66.10076923076923,50.83346153846154,0.0,0.0,15.0,355924.0,40.4,72725.0,34886.0,30850.0,8.667580719479439
263,2013,Plumas County,14.20442307692308,85.79557692307692,65.8882692307692,51.747692307692304,0.0,0.0,22.0,19586.0,49.9,45794.0,29806.0,2917.0,14.893291126314715
264,2013,Riverside County,1.6698076923076923,98.33019230769231,77.5182692307692,43.362884615384665,0.0,0.0,11.0,2228528.0,33.9,56529.0,23591.0,355511.0,15.952727540331555
265,2013,Sacramento County,15.366923076923078,84.63307692307693,65.38461538461539,51.92307692307692,6.72,0.0,40.0,1435207.0,35.1,55064.0,26739.0,248304.0,17.300918961515652
266,2013,San Benito County,1.3711538461538462,98.62884615384611,86.77057692307697,61.60057692307692,2.8684615384615384,0.0,39.0,56115.0,34.5,66237.0,25914.0,6639.0,11.831061213579256
267,2013,San Bernardino County,5.223076923076923,94.77692307692307,81.70057692307688,67.60192307692307,0.8576923076923074,0.0,12.0,2056915.0,31.9,54090.0,21332.0,375280.0,18.24479864262743
268,2013,San Diego County,0.0,100.0,68.91019230769231,29.623461538461545,0.0,0.0,0.0,3138265.0,34.8,62962.0,30668.0,441648.0,14.07299893412443
269,2013,San Francisco County,13.461538461538462,86.53846153846153,65.38461538461539,51.92307692307692,0.0,0.0,48.0,817501.0,38.5,75604.0,48486.0,108306.0,13.248424160949039
270,2013,San Joaquin County,8.678461538461539,91.3215384615385,67.61288461538459,52.75807692307691,11.485384615384616,0.0,54.0,693177.0,32.9,53380.0,22589.0,123115.0,17.76097591235716
271,2013,San Luis Obispo County,0.0,100.0,96.32865384615387,67.27230769230772,38.46153846153846,0.0,23.0,272094.0,39.5,58697.0,29954.0,36588.0,13.446823524223245
272,2013,San Mateo County,13.461538461538462,86.53846153846153,65.38461538461539,51.92307692307692,0.0,0.0,27.0,729543.0,39.3,88202.0,45732.0,54905.0,7.525944324049438
273,2013,Santa Barbara County,0.0,100.0,82.3598076923077,59.60961538461539,35.35000000000001,0.0,44.0,427288.0,33.5,62779.0,30352.0,65740.0,15.385407500327648
274,2013,Santa Clara County,12.049807692307693,87.9501923076923,65.39596153846153,52.01153846153846,0.14076923076923076,0.0,13.0,1812208.0,36.4,91702.0,41513.0,181376.0,10.008564138332906
275,2013,Santa Cruz County,13.360576923076923,86.63942307692308,65.38461538461539,51.92307692307692,0.0,0.0,8.0,264808.0,36.9,66519.0,32295.0,37239.0,14.06264161203589
276,2013,Shasta County,16.90403846153846,83.09596153846155,65.38461538461539,52.84653846153846,0.0,0.0,17.0,177966.0,42.1,44651.0,23670.0,30575.0,17.180247912522617
277,2013,Sierra County,11.695769230769232,88.30423076923074,70.27134615384617,50.55384615384616,0.0,0.0,43.0,3127.0,51.3,39009.0,24996.0,599.0,19.15574032619124
278,2013,Siskiyou County,13.815576923076922,86.1844230769231,66.65173076923078,43.91480769230769,0.0,0.0,16.0,44503.0,47.1,37709.0,22293.0,9216.0,20.70871626631913
279,2013,Solano County,14.199423076923077,85.80057692307693,65.38461538461539,51.92307692307692,0.0,0.0,18.0,417258.0,37.1,67177.0,28929.0,52358.0,12.548111719847192
280,2013,Sonoma County,15.741538461538461,84.25846153846153,65.38461538461539,51.92307692307692,0.0,0.0,36.0,487469.0,40.2,63356.0,32835.0,57048.0,11.702898030438858
281,2013,Stanislaus County,2.2201923076923076,97.77980769230771,83.29923076923077,57.34038461538462,11.16,0.0,35.0,518321.0,33.0,49297.0,21663.0,104173.0,20.09816310741799
282,2013,Sutter County,13.953076923076923,86.04692307692306,65.38461538461539,51.92307692307692,0.0,0.0,53.0,94787.0,34.8,50408.0,23602.0,15596.0,16.453733106860646
283,2013,Tehama County,14.965384615384616,85.03461538461539,65.38461538461539,51.92307692307692,0.0,0.0,37.0,63241.0,39.9,41924.0,20439.0,12271.0,19.40355149349315
284,2013,Trinity County,17.247692307692308,82.7523076923077,65.38461538461539,42.299615384615386,0.0,0.0,9.0,13638.0,49.8,36890.0,22905.0,2579.0,18.91039741897639
285,2013,Tulare County,0.0,100.0,100.0,96.14307692307693,13.183846153846149,0.0,1.0,446644.0,29.9,42708.0,17894.0,115313.0,25.81765343315929
286,2013,Tuolumne County,11.450192307692307,88.54980769230772,77.88230769230769,60.57884615384616,11.530384615384616,0.0,28.0,54728.0,48.0,48426.0,25943.0,7411.0,13.541514398479755
287,2013,Ventura County,0.2403846153846154,99.75961538461539,77.96230769230772,57.8446153846154,5.8500000000000005,0.0,25.0,829017.0,36.6,76544.0,32930.0,90471.0,10.913045208964352
288,2013,Yolo County,13.985000000000001,86.015,65.38461538461539,51.92307692307692,0.0,0.0,2.0,202288.0,30.7,55918.0,27730.0,37188.0,18.38369057976746
289,2013,Yuba County,16.327115384615386,83.67288461538462,65.38461538461539,51.92307692307692,0.0,0.0,32.0,72574.0,31.9,44902.0,19244.0,15392.0,21.20869732962218
290,2014,Alameda County,0.0,100.0,100.0,100.0,96.41961538461538,74.3815384615385,5.0,1559308.0,36.9,73775.0,36439.0,197191.0,12.646058379742811
291,2014,Alpine County,0.0,100.0,100.0,100.0,96.16153846153846,33.00846153846153,33.0,1202.0,43.6,61343.0,24375.0,179.0,14.891846921797006
