,Unnamed: 0,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0.1,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Location ID,Month,Temp (F),Rank,Anomaly (1901-2000 base period),1901-2000 Mean
69,127,2011,Humbold,96.11307692307692,3.8869230769230767,0.0,0.0,0.0,0.0,31.0,133585.0,37.3,40376.0,24209.0,23833.0,17.841074970992253,CA-023,12,79.8,122,5.6,79.2
70,128,2011,Imperial,58.44961538461536,41.55038461538469,0.0,0.0,0.0,0.0,18.0,171343.0,31.8,39402.0,16593.0,37463.0,21.864330611697007,CA-025,12,110.0,126,5.7,105.9
71,129,2011,I,91.21134615384615,8.788653846153847,0.0,0.0,0.0,0.0,16.0,18457.0,45.1,49571.0,27532.0,2127.0,11.52408300373842,CA-027,12,96.4,109,3.8,95.6
72,130,2011,Ker,99.97711538461536,0.022884615384615385,0.0,0.0,0.0,0.0,52.0,829254.0,30.6,48021.0,20167.0,169635.0,20.456337865117323,CA-029,12,95.8,121,4.8,95.1
73,131,2011,Kings,100.0,0.0,0.0,0.0,0.0,0.0,23.0,152335.0,31.0,48838.0,18296.0,26042.0,17.09521777661076,CA-031,12,95.8,109,3.2,97.6
74,132,2011,Lake,96.15384615384615,3.8461538461538463,0.0,0.0,0.0,0.0,14.0,64392.0,44.3,39525.0,22238.0,13543.0,21.032115790781464,CA-033,12,87.9,122,5.7,89.3
75,133,2011,Lasse,91.71673076923078,8.283269230769232,0.0,0.0,0.0,0.0,4.0,35001.0,37.0,52484.0,19339.0,3562.0,10.176852089940287,CA-035,12,83.5,119,5.8,83.8
76,134,2011,Los Angeles,100.0,0.0,0.0,0.0,0.0,0.0,38.0,9787747.0,34.6,56266.0,27954.0,1566066.0,16.00027054234238,CA-037,12,90.0,111,4.7,87.5
77,135,2011,Madera,100.0,0.0,0.0,0.0,0.0,0.0,34.0,149611.0,33.2,47724.0,18817.0,27777.0,18.566148211027265,CA-039,12,89.1,113,3.6,89.7
78,136,2011,Mari,99.36038461538462,0.6396153846153846,0.0,0.0,0.0,0.0,42.0,250666.0,44.3,89605.0,54605.0,17502.0,6.98219942074314,CA-041,12,74.6,120,4.1,71.8
79,137,2011,Mariposa,100.0,0.0,0.0,0.0,0.0,0.0,1.0,18290.0,48.4,49174.0,27209.0,2611.0,14.275560415527613,CA-043,12,88.0,109,3.6,88.6
80,138,2011,Mendoci,96.05769230769229,3.942307692307693,0.0,0.0,0.0,0.0,35.0,87525.0,41.4,44527.0,23585.0,15298.0,17.478434732933447,CA-045,12,83.9,121,5.1,83.3
81,139,2011,Merced,100.0,0.0,0.0,0.0,0.0,0.0,0.0,253606.0,29.5,43945.0,18304.0,57461.0,22.657586965608072,CA-047,12,92.4,120,4.5,93.8
82,140,2011,Modoc,90.79019230769232,9.209807692307693,0.0,0.0,0.0,0.0,15.0,9587.0,46.5,35402.0,20769.0,1816.0,18.942317721915085,CA-049,12,83.9,122,7.0,82.8
83,141,2011,M,98.53826923076923,1.461730769230769,0.0,0.0,0.0,0.0,8.0,14016.0,36.5,60469.0,28789.0,1554.0,11.087328767123287,CA-051,12,79.8,110,4.8,78.9
84,142,2011,Montere,100.0,0.0,0.0,0.0,0.0,0.0,12.0,411385.0,32.8,59737.0,25508.0,59315.0,14.418367222917704,CA-053,12,84.6,114,4.7,85.8
85,143,2011,Napa,97.11884615384615,2.8811538461538464,0.0,0.0,0.0,0.0,20.0,135377.0,39.5,68641.0,35309.0,12906.0,9.533377161556247,CA-055,12,88.3,120,4.8,88.7
86,144,2011,Nevada,96.23615384615385,3.7638461538461536,0.0,0.0,0.0,0.0,32.0,98392.0,47.3,58077.0,31607.0,10072.0,10.236604602000163,CA-057,12,83.6,116,4.7,84.2
87,145,2011,Orange,100.0,0.0,0.0,0.0,0.0,0.0,25.0,2989948.0,36.0,75762.0,34416.0,320473.0,10.718346941150816,CA-059,12,84.8,117,5.9,83.6
88,146,2011,Placer,97.245,2.755,0.0,0.0,0.0,0.0,43.0,343554.0,40.0,74645.0,35583.0,24576.0,7.153460591348085,CA-061,12,84.7,117,4.6,85.7
89,147,2011,Plumas,93.56346153846151,6.436538461538462,0.0,0.0,0.0,0.0,50.0,20192.0,49.0,44151.0,28104.0,2680.0,13.272583201267828,CA-063,12,81.9,119,5.4,81.9
90,148,2011,Riverside,66.79288461538462,33.20711538461537,0.0,0.0,0.0,0.0,39.0,2154844.0,33.5,58365.0,24516.0,301763.0,14.003937175962625,CA-065,12,102.9,125,4.7,99.3
91,149,2011,Sacrame,100.0,0.0,0.0,0.0,0.0,0.0,10.0,1408480.0,34.7,56553.0,27180.0,205715.0,14.605461206406908,CA-067,12,92.4,121,4.7,93.3
92,150,2011,San Beni,100.0,0.0,0.0,0.0,0.0,0.0,9.0,54873.0,33.9,65570.0,26300.0,6179.0,11.260547081442606,CA-069,12,86.7,114,4.0,88.0
93,151,2011,San Bernardi,80.13865384615383,19.861346153846156,0.0,0.0,0.0,0.0,40.0,2023452.0,31.4,55853.0,21932.0,317059.0,15.669212810583105,CA-071,12,101.7,125,4.0,99.4
