Year,County,Poverty Rate
2018,Alpine ,19.80802792
2018,Amador ,8.784266039
2018,Butte ,19.55741495
2018,Calaveras ,11.58837184
2018,Colusa ,13.64610511
2018,Contra Costa ,9.048601055
2018,Del Norte ,19.90227538
2018,El Dorado ,8.859376088
2018,Fresno ,23.7255784
2018,Glenn ,18.46793562
2018,Humboldt ,19.85519415
2018,Imperial ,22.85646114
2018,Inyo ,9.908764169
2018,Kern ,21.20280436
2018,Kings ,18.71331001
2018,Lake ,20.61482821
2018,Lassen ,9.405162738
2018,Los Angeles ,15.74517541
2018,Madera ,19.70737938
2018,Marin ,7.43041549
2018,Mariposa ,13.88255416
2018,Mendocino ,18.16133239
2018,Merced ,22.17225681
2018,Modoc ,16.05504587
2018,Mono ,10.25821927
2018,Monterey ,13.549717000000001
2018,Napa ,7.947057568
2018,Nevada ,11.2713438
2018,Orange ,11.36164102
2018,Placer ,7.970227086
2018,Plumas ,11.47654955
2018,Riverside ,14.50619019
2018,Sacramento ,15.62770898
2018,San Benito ,9.187760872
2018,San Bernardino ,16.81548253
2018,San Diego ,12.20739892
2018,San Francisco ,10.6867009
2018,San Joaquin ,15.60941367
2018,San Luis Obispo ,12.5430353
2018,San Mateo ,6.970173709
2018,Santa Barbara ,14.19982061
2018,Santa Clara ,7.795754864
2018,Santa Cruz ,13.67194492
2018,Shasta ,16.85568306
2018,Sierra ,8.225255973
2018,Siskiyou ,19.2328893
2018,Solano ,10.13089184
2018,Sonoma ,10.11615405
2018,Stanislaus ,15.95880594
2018,Sutter ,15.83465454
2018,Tehama ,21.24564089
2018,Trinity ,19.36712797
2018,Tulare ,25.14479551
2018,Tuolumne ,12.45086405
2018,Ventura ,9.439555152999999
2018,Yolo ,18.87783344
2018,Yuba ,17.6148782
2019,Alameda ,9.752866147
2019,Alameda ,9.752866147
2019,Alpine ,19.73051011
2019,Alpine ,19.73051011
2019,Amador ,8.980197247000001
2019,Amador ,8.980197247000001
2019,Butte ,18.58761741
2019,Butte ,18.58761741
2019,Calaveras ,11.30860834
2019,Calaveras ,11.30860834
2019,Colusa ,12.92998975
2019,Colusa ,12.92998975
2019,Contra Costa ,8.631640506
2019,Contra Costa ,8.631640506
2019,Del Norte ,17.31223859
2019,Del Norte ,17.31223859
2019,El Dorado ,8.295901105
2019,El Dorado ,8.295901105
2019,Fresno ,22.16854694
2019,Fresno ,22.16854694
2019,Glenn ,17.22190449
2019,Glenn ,17.22190449
2019,Humboldt ,19.62189201
2019,Humboldt ,19.62189201
2019,Imperial ,22.74475515
2019,Imperial ,22.74475515
2019,Inyo ,9.094954664
2019,Inyo ,9.094954664
2019,Kern ,20.27621527
2019,Kern ,20.27621527
2019,Kings ,16.40774831
2019,Kings ,16.40774831
2019,Lake ,18.30827946
2019,Lake ,18.30827946
2019,Lassen ,9.182945032000001
2019,Lassen ,9.182945032000001
2019,Los Angeles ,14.68467709
2019,Los Angeles ,14.68467709
2019,Madera ,18.83319501
2019,Madera ,18.83319501
2019,Marin ,7.058855211
2019,Marin ,7.058855211
2019,Mariposa ,15.01722158
2019,Mariposa ,15.01722158
2019,Mendocino ,17.48486655
2019,Mendocino ,17.48486655
2019,Merced ,20.71508059
2019,Merced ,20.71508059
2019,Modoc ,18.16548782
2019,Modoc ,18.16548782
2019,Mono ,11.970649900000002
2019,Mono ,11.970649900000002
2019,Monterey ,12.55001038
2019,Monterey ,12.55001038
2019,Napa ,7.601899401
2019,Napa ,7.601899401
2019,Nevada ,10.92660513
2019,Nevada ,10.92660513
2019,Orange ,10.733689300000002
2019,Orange ,10.733689300000002
2019,Placer ,7.674988067999999
2019,Placer ,7.674988067999999
2019,Plumas ,11.91854234
2019,Plumas ,11.91854234
2019,Riverside ,13.48899972
2019,Riverside ,13.48899972
2019,Sacramento ,14.4772271
2019,Sacramento ,14.4772271
2019,San Benito ,8.382469856
2019,San Benito ,8.382469856
2019,San Bernardino ,15.523880300000002
2019,San Bernardino ,15.523880300000002
2019,San Diego ,11.30213358
2019,San Diego ,11.30213358
2019,San Francisco ,10.17531067
2019,San Francisco ,10.17531067
2019,San Joaquin ,14.20153164
2019,San Joaquin ,14.20153164
2019,San Luis Obispo ,11.78778374
2019,San Luis Obispo ,11.78778374
2019,San Mateo ,6.656693896
2019,San Mateo ,6.656693896
2019,Santa Barbara ,12.93890461
2019,Santa Barbara ,12.93890461
2019,Santa Clara ,7.3948751470000005
2019,Santa Clara ,7.3948751470000005
2019,Santa Cruz ,12.5634212
2019,Santa Cruz ,12.5634212
2019,Shasta ,16.4179854
2019,Shasta ,16.4179854
2019,Sierra ,9.572368421
2019,Sierra ,9.572368421
2019,Siskiyou ,18.6389988
2019,Siskiyou ,18.6389988
2019,Solano ,9.306994335
2019,Solano ,9.306994335
2019,Sonoma ,9.087744011
2019,Sonoma ,9.087744011
2019,Stanislaus ,14.98819943
2019,Stanislaus ,14.98819943
2019,Sutter ,15.28160734
2019,Sutter ,15.28160734
2019,Tehama ,21.79559394
2019,Tehama ,21.79559394
2019,Trinity ,18.67716535
2019,Trinity ,18.67716535
2019,Tulare ,23.49263257
2019,Tulare ,23.49263257
2019,Tuolumne ,11.92154686
2019,Tuolumne ,11.92154686
2019,Ventura ,8.810133335
2019,Ventura ,8.810133335
2019,Yolo ,18.36606058
2019,Yolo ,18.36606058
2019,Yuba ,15.15453117
2019,Yuba ,15.15453117
