,YEAR,COUNTY,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM
61503,2019,Trinity,Winter Storm,0,0,0
61504,2019,Trinity,Winter Weather,0,0,0
61505,2019,Mendocino,Winter Storm,0,0,0
61506,2019,Trinity,Winter Weather,0,0,0
61507,2019,Trinity,Winter Weather,0,0,0
61508,2019,Yuba,Heavy Snow,0,0,0
61512,2019,Mendocino,Winter Weather,0,0,0
61513,2019,Mendocino,Winter Weather,0,0,0
61514,2019,Mendocino,Winter Weather,0,0,0
61515,2019,Trinity,Winter Weather,0,0,0
61516,2019,Mendocino,Winter Weather,0,0,0
61517,2019,Trinity,Flood,0,0,0
61518,2019,Los Angeles,Flash Flood,0,0,0
61519,2019,San Francisco,Winter Weather,0,0,0
61520,2019,Tuolumne,Funnel Cloud,0,0,0
61521,2019,Riverside,Heavy Rain,0,0,0
61522,2019,Santa Barbara,Funnel Cloud,0,0,0
61524,2019,Trinity,Funnel Cloud,0,0,0
61525,2019,Humboldt,Winter Weather,0,0,0
61529,2019,Santa Cruz,Winter Weather,0,0,0
61530,2019,Monterey,Winter Weather,0,0,0
61531,2019,Santa Cruz,Heavy Snow,0,0,0
61534,2019,Santa Cruz,Winter Weather,0,0,0
61535,2019,Santa Cruz,Winter Weather,0,0,0
61536,2019,San Benito,Astronomical Low Tide,0,0,0
61537,2019,Santa Cruz,Winter Weather,0,0,0
61538,2019,Monterey,Winter Weather,0,0,0
61539,2019,Monterey,Winter Weather,0,0,0
61540,2019,Santa Clara,Winter Weather,0,0,0
61541,2019,San Bernardino,Winter Weather,0,0,0
61546,2019,Santa Clara,Winter Weather,0,0,0
61547,2019,San Diego,Winter Storm,0,0,10000
61548,2019,Trinity,Funnel Cloud,0,0,0
61553,2019,Siskiyou,Flood,0,0,0
61555,2019,Santa Clara,Strong Wind,0,0,0
61556,2019,San Bernardino,Debris Flow,0,0,0
61557,2019,Yuba,Flood,0,0,0
61559,2019,Los Angeles,Flood,0,0,0
61560,2019,Monterey,Strong Wind,0,0,0
61561,2019,Shasta,Flood,0,0,0
61562,2019,Los Angeles,Flood,0,0,0
61563,2019,Yuba,Flood,0,0,0
61566,2019,Santa Clara,Strong Wind,1,0,0
61567,2019,Siskiyou,Flood,0,0,0
61568,2019,Modoc,Flood,0,0,0
61569,2019,Los Angeles,Debris Flow,0,0,0
61570,2019,Mendocino,Flood,0,0,0
61571,2019,Los Angeles,Debris Flow,0,0,0
61573,2019,Modoc,Flood,0,0,0
61575,2019,Mono,High Wind,0,0,0
61576,2019,Placer,High Wind,0,0,0
61578,2019,Sierra,Heavy Snow,0,0,0
61579,2019,Mono,Heavy Rain,0,0,0
61580,2019,San Bernardino,Debris Flow,0,0,0
61583,2019,Santa Clara,Strong Wind,0,0,0
61585,2019,Modoc,Debris Flow,0,0,0
61587,2019,Sonoma,Strong Wind,0,0,0
61588,2019,San Francisco,Strong Wind,0,0,0
61590,2019,Tehama,High Wind,0,0,0
61592,2019,Modoc,Flood,0,0,0
61593,2019,Mono,Heavy Snow,0,0,0
61594,2019,Mono,Heavy Snow,0,0,0
61595,2019,Sierra,Heavy Snow,0,0,0
61596,2019,Sierra,Heavy Snow,0,0,0
61597,2019,Mono,Heavy Snow,0,0,0
61598,2019,Placer,Heavy Snow,0,0,0
61599,2019,San Diego,High Surf,0,0,0
61600,2019,Mono,Heavy Snow,0,0,0
61601,2019,Orange,High Surf,0,0,0
61602,2019,San Diego,Flood,0,0,0
61603,2019,Sonoma,Rip Current,0,0,0
61604,2019,Santa Clara,Strong Wind,0,0,0
61605,2019,Santa Clara,Strong Wind,0,0,0
61606,2019,Humboldt,High Wind,0,0,0
61607,2019,Santa Cruz,High Wind,0,0,0
61608,2019,Siskiyou,Heavy Snow,0,0,0
61609,2019,Sierra,Heavy Snow,0,0,0
